questionnaireQuestionId;questionnaireId;ordinal;title;content;requiredAnswerType;string_minLength;string_maxLength;number_minValue;number_maxValue;isNotApplicable
29;7;1;Food Quality;How would you rate the quality and taste of your meal?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
30;7;2;Server Experience;How would you rate the overall experience with your server?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
31;7;3;Greetings Experience;How would you rate the overall experience with your host/hostess?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
32;7;4;Cleanliness;How would you rate the overall cleanliness of this location?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
87;24;1;Donation Cleanliness;How would you rate the cleanliness of the donation drive-thru area during your visit?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
89;24;3;Mission Explanation;How would you rate the attendant's explanation of how your donation supports/funds Goodwill’s mission.\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent?;number;;;1;10;
90;24;4;Attendant Safety;How would you rate the  attendant’s attention to safety (wearing a safety vest, safe lifting, handled donation with care)?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
97;28;1;Quality and taste;How would you rate the quality and taste of your meal?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
98;28;2;Staff Experience;How would you rate the overall experience with the staff?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent?;number;;;1;10;
99;28;3;Cleanliness;How would you rate the overall cleanliness of this location?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent?;number;;;1;10;
100;28;4;Wait time;How would you rate your wait time in receiving your order?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
105;30;1;Staff Experience;How would you rate the customer service you received while shopping? \n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
106;30;2;Merchandise Quality;How would you rate the selection of merchandise in this location?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent?;number;;;1;10;
107;30;3;Cleanliness;Overall, how would you rate the cleanliness and organization of this location?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
129;36;1;Product price;How important is the price of the product on your decision to purchase?\n1-3: not/low\n4-7: slightly/moderately\n8-10: very/extremely;number;;;1;10;
131;36;2;Check-out experience;How long was your check out experience? If you did not purchase, please text NA.\n1: Over 5 Minutes\n2: Between 2 and 4 minutes\n3: Under 2 minutes;number;;;1;3;1
132;36;3;Retail cleanliness;Overall, how would you rate the cleanliness and organization of this location today?\n1-3: poor/fair\n4-7: fair/good\n8-10: good/excellent;number;;;1;10;
